"Date(UTC)","Julian Date","MET","TS","Photon Flux [0.1-100 GeV](photons cm-2 s-1)","Photon Flux Error(photons cm-2 s-1)","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Sep 28 2012","2456197","370483201","275.34","8.42e-7","7.50e-8","-3.8","-","100.65","1e-8","0","bin51.log"
"Oct 28 2012","2456228","373075201","155.28","7.35e-7","8.60e-8","-3.8","-","127.81","1e-8","0","bin52.log"
"Nov 27 2012","2456257","375667201","238.99","9.07e-7","8.60e-8","-3.8","-","157.46","1e-8","0","bin53.log"
"Dec 27 2012","2456288","378259201","368.03","1.23e-6","1.00e-7","-3.8","-","168.46","1e-8","0","bin54.log"
"Jan 26 2013","2456317","380851201","296.76","1.05e-6","8.60e-8","-3.8","-","136.44","1e-8","0","bin55.log"
"Feb 25 2013","2456347","383443201","2285.33","3.04e-6","1.00e-7","-3.8","-","106.22","1e-8","0","bin56.log"
"Mar 27 2013","2456379","386035201","738.87","1.79e-6","1.00e-7","-3.8","-","78.04","1e-8","0","bin57.log"
"Apr 26 2013","2456409","388627201","771.71","1.62e-6","9.00e-8","-3.8","-","50.09","1e-8","0","bin58.log"
"May 26 2013","2456439","391219201","252.17","1.04e-6","9.10e-8","-3.8","-","20.65","1e-8","0","bin59.log"
"Jun 25 2013","2456468","393811201","222.3","8.78e-7","8.50e-8","-3.8","-","10.31","1e-8","0","bin60.log"
"Jul 25 2013","2456499","396403201","38.14","3.52e-7","8.00e-8","-3.8","-","40.86","1e-8","0","bin61.log"
"Aug 24 2013","2456528","398995201","14.92","2.28e-7","8.20e-8","-3.8","-","69.31","1e-8","0","bin62.log"
"Sep 23 2013","2456558","401587201","145.9","6.58e-7","8.00e-8","-3.8","-","96.02","1e-8","0","bin63.log"
"Oct 23 2013","2456588","404179201","561.12","1.37e-6","8.00e-8","-3.8","-","122.92","1e-8","0","bin64.log"
"Nov 22 2013","2456618","406771201","256.82","9.58e-7","8.80e-8","-3.8","-","152.09","1e-8","0","bin65.log"
"Dec 22 2013","2456648","409363201","104.05","7.48e-7","1.03e-7","-3.8","-","173.40","1e-8","0","bin66.log"
"Jan 21 2014","2456677","411955201","179.78","6.31e-7","6.50e-8","-3.8","-","141.98","1e-8","0","bin67.log"
"Feb 20 2014","2456707","414547201","31.97","3.58e-7","8.90e-8","-3.8","-","111.32","1e-8","0","bin68.log"
"Mar 22 2014","2456739","417139201","188.68","8.01e-7","8.00e-8","-3.8","-","82.89","1e-8","0","bin69.log"
"Apr 21 2014","2456769","419731201","131.89","6.76e-7","8.60e-8","-3.8","-","55.04","1e-8","0","bin70.log"
"May 21 2014","2456799","422323201","59.29","4.49e-7","8.20e-8","-3.8","-","25.94","1e-8","0","bin71.log"
"Jun 20 2014","2456829","424915201","43.8","4.03e-7","8.60e-8","-3.8","-","4.86","1e-8","0","bin72.log"
"Jul 20 2014","2456859","427507201","37.03","3.43e-7","7.90e-8","-3.8","-","35.65","1e-8","0","bin73.log"
"Aug 19 2014","2456889","430099201","450.67","1.17e-6","8.00e-8","-3.8","-","64.50","1e-8","0","bin74.log"
"Sep 18 2014","2456918","432691201","24.77","3.09e-7","8.60e-8","-3.8","-","91.41","1e-8","0","bin75.log"
"Oct 18 2014","2456948","435283201","42","3.65e-7","7.90e-8","-3.8","-","118.11","1e-8","0","bin76.log"
"Nov 17 2014","2456978","437875201","38.83","3.67e-7","8.20e-8","-3.8","-","146.78","1e-8","0","bin77.log"
"Dec 17 2014","2457008","440467201","45.8","3.94e-7","8.30e-8","-3.8","-","175.36","1e-8","0","bin78.log"
